호출부호,선사,선명,총톤수,LOA
VRVO9,MAE,GUNDEMAERSK,99002,367
3FDM4,MSC,MSCROSAM,153115,366
9V5245,MAE,MAERSKSANTANA,93511,335
VRVB5,MAE,MAERSKCLEVELAND,155545,366
CQIZ,MSC,MSCVIGOURIII,27437,222
OYHL2,MAE,MAERSKELBA,141716,335
A8UE8,ZIM,ZIMBALTIMORE,40741,260
OUQK2,MAE,CLEMENTINEMAERSK,91921,347
OUWO2,MAE,CAPESERRAT,26914,189
VRFO2,MCC,MAERSKNINGBO,26404,209
D5WW3,ZIM,PUSAN,66278,194
9V6988,MCC,MAERSKVALENCIA,18327,175
3EMX2,MCC,MAERSKNESNA,25805,172
5LBC6,MAE,PORTOKAGIO,66332,279
3E4971,MCC,MERATUSTOMINI,28050,216
OZKL2,MAE,ASTRIDMAERSK,172093,351
D5ZR3,MSC,MSCAPOLLINE,228786,400
3E5218,MAE,MAERSKFORTALEZA,57872,255
OZIB2,MAE,MAERSKLONDRINA,90107,299
3FBT7,MSC,MSCOSCAR,192237,396
D7FG,SML,SMNINGBO,74962,304
D5YO8,SML,PONA,27968,221
5LLT2,MAE,GSLEFFIE,93496,352
2BOW3,COS,COSCOFELIXSTOWE,65531,280
D5DV4,MAE,TOCONAO,96628,300
9HA4043,ZIM,ZIMSHANGHAI,109149,350
A8HZ5,MSC,MSCUTMOSTVIII,90389,335
9V8972,XPR,X-PRESSCASSIOPEIA,73172,272
9VFV4,MAE,MAERSKTAURUS,94055,332
A8OK3,ZIM,TONGALA,40030,260
OXVS2,MAE,MAERSKEVORA,141716,366
HP7585,MSC,MSCNELA,228741,399
OYGM2,MAE,GERDMAERSK,98648,367
VRUN7,ZIM,ZIMCANADA,114643,330
VRGI8,MCC,SEASPANGUAYAQUIL,26404,209
9V9167,XPR,X-PRESSPHOENIX,73172,272
CQ2247,ESL,ESLWAFA,73934,304
OWMD2,MAE,MADRIDMAERSK,214286,399
OYLY2,MCC,NUUKMAERSK,26255,172
DFDH2,ZIM,ZIMHONGKONG,107849,337
9VFV5,MAE,MAERSKALGOL,109534,337
9HA3459,MSC,MSCTRIESTE,143521,365
A8SE4,ESL,ESLWASL,75752,306
HSB8290,ZIM,ZIMTHAILAND,118523,333
9V9413,MAE,MAERSKHAVANA,153773,353
HPAF,MSC,MSCLUDOVICA,75590,300
D5AN2,MAE,METHONI,73819,305
A8UL6,COS,NAVIOSMIAMI,41358,262
OZHS2,MAE,SALLYMAERSK,92198,347
D5DG4,MAE,PANDA006,71112,270
D5JH6,MAE,MAERSKSARAT,93702,300
3EXK8,MSC,MSCFEBE,232618,400
5LLS9,MAE,MARIAY,93496,352
3EEM5,MCC,MAERSKNUSSFJORD,25805,172
VRVB8,ZIM,ZIMMOUNTKILIMANJARO,152204,366
D5KX8,MSC,MSCDIANA,194250,400
D5QU4,MCC,TORRESSTRAIT,18123,175
9V6465,MAE,MAERSKEUREKA,142121,366
D5EV9,MAE,TRANCURA,96628,300
OWKF2,MAE,JOSEPHINEMAERSK,30166,216
CQ2136,ESL,ESLDANA,73934,304
A8LN2,MCC,ARCHER,27779,101
3E7460,RLS,YUANXIANGFENJIN,15523,153
5LJE3,MSC,MSCCELESTINOMARESCA,236078,399
9HA4042,ZIM,ZIMYANTIAN,109149,350
OWLD2,MAE,CHARLOTTEMAERSK,92198,347
CQEE7,MSC,MSCBUSAN,91023,325
5LAQ3,MAE,GSLTEGEA,66058,277
MMBQ4,MAE,MAERSKCAMPTON,149944,366
C6GG9,ZIM,SUNNYPHOENIX,39941,260
5LBR5,MAE,GSLKITHIRA,52726,294
D5JH8,MAE,MAERSKSHIVLING,96424,300
VRUX7,ZIM,ZIMSAMMYOFER,152204,366
OXCH2,MAE,SANTABARBARA,86601,300
D5VS5,MCC,ASIANACE,18327,175
D5VP6,MAE,GSLNICOLETTA,75201,300
V7A5640,MAE,TENDERSOUL,29421,186
9V5395,MAE,MAERSKHALIFAX,153744,368
D5FN8,MAE,TYNDALL,96628,300
HSB8544,ZIM,ZIMBANGKOK,118523,333
5LAQ9,MAE,GSLVIOLETTA,66289,279
OWTB2,MAE,MURCIAMAERSK,214286,399
MMBQ7,MAE,MAERSKCANDOR,149944,366
D5IN3,MAE,CCNIANDES,95138,300
A8IE7,MSC,MSCKUMSAL,91649,333
5LBR7,MAE,GSLSYROS,52726,294
A8SJ2,ZIM,TIANJIN,114044,172
3EXO7,MSC,MSCGAIA,151559,366
OYRO2,MAE,CLIFFORDMAERSK,92198,347
3EUP7,MSC,MSCSONIA,153092,366
A8VA4,MAE,SOFIAI,54182,294
VRFB4,MAE,MAERSKNEWDELHI,26532,209
HPDM,MAE,MAERSKESMERALDAS,141754,366
VRVB9,ZIM,ZIMMOUNTOLYMPUS,152204,366
3FPV5,MSC,MSCLENI,232618,400
VRVO4,MAE,GUTHORMMAERSK,99002,367
OUMQ2,MAE,A.P.MOLLER,92198,351
D5QC7,MCC,SEOULGLOW,18123,175
D5MA7,MSC,KURE,81488,318
A8IE9,MSC,MSCTEXAS,91649,334
5BKE5,ZIM,SYNERGYOAKLAND,40030,260
V7A6435,ESL,TSSHANGHAI,73172,272
A8RB5,MAE,KASSIAKOS,40560,258
OWSE2,MAE,MAASTRICHTMAERSK,214286,399
9V5392,MAE,MAERSKHONGKONG,153774,353
5BDF5,MSC,MSCBOSPHORUS,75484,300
A8SI7,ZIM,ZIMSANDIEGO,91158,334
CQIP9,MSC,MSCJASPERVIII,94407,333
9V6458,MAE,MAERSKYUKON,114044,349
5LJP3,MSC,MSCIRINA,236184,400
9V5997,MAE,MAERSKSALTORO,95128,299
VRUX9,ZIM,ZIMMOUNTBLANC,152204,366
5LAQ8,MAE,GSLMARIA,65792,276
OWJI2,MAE,MAGLEBYMAERSK,194849,399
5LRE4,MAE,ARTOTINA,25703,208
D5IS4,ZIM,ZIMNORFOLK,94416,300
D5ZW2,MCC,HANSABITBURG,18321,175
9V5255,MAE,MAERSKSHAMS,95205,299
3FTU,MAE,SEROJALIMA,86682,316
9V5600,MAE,MAERSKHIDALGO,153773,353
OYOS2,MAE,SKAGENMAERSK,92198,347
9V8741,ONE,NYKFUSHIMI,44854,266
3FZW9,MSC,MSCCLARA,192237,396
5LDJ8,MAE,UTE,53481,294
9V7412,MAE,WANHAIA12,122045,335
OWTG2,MAE,MARENMAERSK,194849,399
A8SI5,ZIM,ZIMNINGBO,91158,334
VRVC3,ZIM,ZIMMOUNTELBRUS,152204,366
DFDG2,ZIM,ZIMNEWARK,107849,337
OZJM2,MAE,MAERSKLIMA,89174,300
OUMN2,MAE,CARSTENMAERSK,92198,347
CQ2119,ZIM,ZIMYANGTZE,52228,255
9V2089,MAE,SANVICENTE,94930,228
5LLT3,MAE,GSLALEXANDRA,93496,352
H8RY,MSC,MSCOLIVER,192237,396
V7A5227,MAE,PRESTIGE,71809,177
D7SB,MCC,DONGJINVOYAGER,18559,172
3FTV6,MSC,MSCGULSUN,232618,400
9V6597,MAE,YMTRUST,118524,333
OXSQ2,MAE,MAERSKESSEX,141716,366
D5SG2,MSC,MSCYORKVII,74661,304
5LPV7,ZIM,ZIMHAWK,49877,238
3E5922,MAE,MAERSKFRANKFURT,57872,255
BQTL,ESL,ZHONGGUZHUHAI,28433,180
D5LH6,MSC,MSCJADE,194308,399
OWCH2,MAE,MUNICHMAERSK,214286,399
VRUY3,ZIM,ZIMMOUNTRAINIER,152204,366
V2GK7,MCC,MCCSHENZHEN,17769,172
OZHV2,MAE,ANTONIAMAERSK,172093,351
9V7053,MAE,WANHAI622,71837,293
D5VZ3,MSC,MSCTIANSHAN,91649,334
V7AA9,MAE,HANSAAUSTRALIA,38388,240
5LDZ2,MSC,MSCLONGBEACHVI,66199,277
5LDM4,MAE,MAERSKCAMPBELL,149944,366
D7CL,SML,SMQINGDAO,40741,259
